Date,Price,Open,High,Low,Vol.,Change %
9-Apr-14,101.04,100.58,101.04,100.51,40.41K,0.43%
8-Apr-14,100.61,100.95,100.98,100.24,43.26K,-0.34%
7-Apr-14,100.95,100.22,100.95,100.22,51.18K,0.19%
3-Apr-14,100.76,100.63,100.76,100.17,37.46K,0.22%
2-Apr-14,100.54,100.33,100.55,99.95,35.23K,0.30%
1-Apr-14,100.24,99.82,100.24,99.74,31.29K,0.07%
31-Mar-14,100.17,99.68,100.19,99.68,39.46K,0.02%
28-Mar-14,100.15,100.31,100.43,99.7,36.15K,-0.32%
27-Mar-14,100.47,99.26,100.47,99.22,52.33K,0.94%
26-Mar-14,99.53,99.9,100.08,99.34,54.28K,-0.19%
25-Mar-14,99.72,98.59,99.72,98.59,43.80K,0.64%
24-Mar-14,99.09,98.14,99.09,97.82,45.17K,0.87%
21-Mar-14,98.24,99.29,99.29,98.24,52.97K,-1.07%
20-Mar-14,99.3,98.48,99.3,98.05,52.04K,0.52%
19-Mar-14,98.79,99.52,99.52,98.79,37.99K,-0.66%
18-Mar-14,99.45,98.61,99.48,98.42,42.70K,1.18%
17-Mar-14,98.29,98.26,98.47,98,34.68K,0.15%
14-Mar-14,98.14,98.87,98.99,98.14,33.26K,-0.89%
13-Mar-14,99.02,98.6,99.02,98.26,31.30K,0.20%
12-Mar-14,98.82,98.66,98.89,98.27,32.41K,-0.49%
11-Mar-14,99.31,98.51,99.31,98.3,43.02K,0.86%
10-Mar-14,98.46,98.6,98.76,98.24,25.81K,-0.73%
7-Mar-14,99.18,98.93,99.2,98.59,34.85K,0.31%
6-Mar-14,98.87,98.44,98.87,98.22,29.85K,0.80%
5-Mar-14,98.09,98.38,98.88,98.09,33.26K,-0.02%
4-Mar-14,98.11,98.32,98.46,98.02,29.11K,-0.57%
3-Mar-14,98.67,98.81,98.81,97.66,35.33K,-0.40%
27-Feb-14,99.07,98.69,99.17,98.63,31.75K,0.44%
26-Feb-14,98.64,98.85,99.04,98.63,36.73K,-0.29%
25-Feb-14,98.93,99.16,99.56,98.9,28.35K,-0.33%
24-Feb-14,99.26,98.97,99.5,98.93,25.61K,-0.09%
21-Feb-14,99.35,98.78,99.73,98.76,34.04K,0.64%
20-Feb-14,98.72,99.7,99.72,98.72,29.72K,-1.34%
19-Feb-14,100.06,99.93,100.06,99.39,25.79K,-0.17%
18-Feb-14,100.23,99.48,100.23,99.27,21.54K,0.75%
17-Feb-14,99.48,100.04,100.48,99.42,19.29K,-0.58%
14-Feb-14,100.06,99.48,100.36,99.48,35.39K,0.91%
13-Feb-14,99.16,99.57,99.82,99.16,24.92K,-0.82%
12-Feb-14,99.98,100.02,100.13,99.56,26.85K,0.19%
11-Feb-14,99.79,99.33,99.85,99.33,23.98K,0.49%
10-Feb-14,99.3,99.66,99.7,99.27,23.19K,0.46%
7-Feb-14,98.85,98.54,99.19,98.51,34.01K,0.75%
6-Feb-14,98.11,97.47,98.93,97.47,45.18K,0.74%
5-Feb-14,97.39,98.87,98.96,96.93,77.16K,-2.53%
27-Jan-14,99.92,101.51,101.51,99.92,56.21K,-2.14%
24-Jan-14,102.11,101.86,102.11,101.38,26.65K,0.21%
23-Jan-14,101.9,101.79,101.93,101.22,27.30K,0.08%
22-Jan-14,101.82,101.94,101.94,101.48,26.01K,-0.05%
21-Jan-14,101.87,102.04,102.05,101.3,31.31K,-0.18%
