id,c_name,c_date,c_price,c_open,c_high,c_low
5401,道瓊鋼鐵指數,2016-01-08,138.33,142.5,143.62,138.22
5402,道瓊鋼鐵指數,2016-01-07,142.23,148.71,148.71,140.93
5403,道瓊鋼鐵指數,2016-01-06,148.97,150.74,150.74,148.1
5404,道瓊鋼鐵指數,2016-01-05,151.12,150.46,151.34,148.9
5405,道瓊鋼鐵指數,2016-01-04,149.62,150.98,150.98,147.52
5406,道瓊鋼鐵指數,2015-12-31,151.37,152.08,153.2,151.2
5407,道瓊鋼鐵指數,2015-12-30,152.3,152.56,153.55,151.34
5408,道瓊鋼鐵指數,2015-12-29,152.99,153.21,153.78,151.14
5409,道瓊鋼鐵指數,2015-12-28,153.07,155.19,155.19,150.85
5410,道瓊鋼鐵指數,2015-12-24,155.45,155.6,156.37,154.0
5411,道瓊鋼鐵指數,2015-12-23,155.6,155.33,159.5,154.09
5412,道瓊鋼鐵指數,2015-12-22,154.98,149.13,155.35,149.13
5413,道瓊鋼鐵指數,2015-12-21,149.08,145.95,149.75,145.95
5414,道瓊鋼鐵指數,2015-12-18,145.89,144.71,146.87,144.23
5415,道瓊鋼鐵指數,2015-12-17,144.71,145.11,145.69,142.73
5416,道瓊鋼鐵指數,2015-12-16,145.37,148.69,148.87,141.98
5417,道瓊鋼鐵指數,2015-12-15,148.62,150.78,151.74,147.84
5418,道瓊鋼鐵指數,2015-12-14,150.08,151.38,153.36,149.12
