Date,Price,Open,High,Low,Vol.,Change %
20-Feb-17,418,418,418,418,-,0.00%
17-Feb-17,418,418,418,418,-,0.00%
16-Feb-17,418,418,418,418,-,0.00%
15-Feb-17,418,418,418,418,0.00K,0.72%
14-Feb-17,418,415,415,415,0.04K,2.72%
13-Feb-17,415,404,404,404,0.01K,0.00%
10-Feb-17,404,404,404,404,-,0.50%
9-Feb-17,404,402,402,402,-,0.00%
8-Feb-17,402,402,402,402,-,0.25%
7-Feb-17,402,401,401,401,-,0.00%
6-Feb-17,401,401,401,401,0.12K,-0.25%
3-Feb-17,401,402,402,402,0.03K,-1.35%
2-Feb-17,402,407.5,407.5,407.5,0.13K,-2.85%
1-Feb-17,407.5,419.45,419.45,419.45,0.30K,-0.84%
31-Jan-17,419.45,423,423,423,0.30K,0.71%
30-Jan-17,423,420,420,420,-,0.00%
27-Jan-17,420,420,420,420,-,0.00%
26-Jan-17,420,420,420,420,-,0.00%
25-Jan-17,420,420,420,420,-,-0.24%
24-Jan-17,420,421,421,421,-,-0.94%
23-Jan-17,421,425,425,425,0.03K,-1.16%
20-Jan-17,425,430,430,430,-,0.00%
19-Jan-17,430,430,430,430,-,-0.23%
18-Jan-17,430,431,431,431,-,-0.58%
17-Jan-17,431,433.5,433.5,433.5,0.03K,0.35%
16-Jan-17,433.5,432,432,432,-,-0.69%
13-Jan-17,432,435,435,435,-,-0.23%
12-Jan-17,435,436,436,436,0.03K,0.23%
11-Jan-17,436,435,435,435,-,0.00%
10-Jan-17,435,435,435,435,0.01K,0.00%
9-Jan-17,435,435,435,435,-,-0.11%
6-Jan-17,435,435.5,435.5,435.5,0.01K,-1.47%
5-Jan-17,435.5,442,442,442,-,0.00%
4-Jan-17,442,442,442,442,-,3.21%
3-Jan-17,442,428.25,428.25,428.25,-,-1.55%
30-Dec-16,428.25,435,435,435,-,0.00%
29-Dec-16,435,435,435,435,-,0.00%
28-Dec-16,435,435,435,435,-,-0.23%
23-Dec-16,435,436,436,436,-,-0.68%
22-Dec-16,436,439,439,439,-,-0.23%
21-Dec-16,439,440,440,440,-,0.00%
20-Dec-16,440,440,440,440,-,0.00%
19-Dec-16,440,440,440,440,0.03K,2.33%
16-Dec-16,440,430,430,430,0.02K,2.38%
15-Dec-16,430,420,420,420,-,0.00%
14-Dec-16,420,420,420,420,0.01K,-2.33%
13-Dec-16,420,430,430,430,-,0.00%
12-Dec-16,430,430,430,430,-,-1.83%
9-Dec-16,430,438,438,438,0.01K,0.46%
8-Dec-16,438,436,436,436,0.01K,-0.46%
7-Dec-16,436,438,438,438,0.02K,0.23%
6-Dec-16,438,437,437,437,-,0.00%
5-Dec-16,437,437,437,437,-,-0.23%
2-Dec-16,437,438,438,438,0.02K,3.22%
1-Dec-16,438,424.32,424.32,424.32,-,-0.16%
30-Nov-16,424.32,425,425,425,-,0.00%
29-Nov-16,425,425,425,425,-,0.00%
28-Nov-16,425,425,425,425,-,0.00%
25-Nov-16,425,425,425,425,-,0.00%
24-Nov-16,425,425,425,425,-,0.00%
23-Nov-16,425,425,425,425,-,0.71%
22-Nov-16,425,422,422,422,-,0.00%
21-Nov-16,422,422,422,422,-,0.24%
18-Nov-16,422,421,421,421,-,0.00%
17-Nov-16,421,421,421,421,-,0.00%
16-Nov-16,421,421,421,421,-,1.20%
15-Nov-16,421,416,416,416,0.00K,0.24%
14-Nov-16,416,415,415,415,0.01K,0.00%
11-Nov-16,415,415,415,415,-,0.00%
10-Nov-16,415,415,415,415,-,0.00%
9-Nov-16,415,415,415,415,-,0.00%
8-Nov-16,415,415,415,415,-,1.47%
7-Nov-16,415,409,409,409,0.00K,-0.24%
4-Nov-16,409,410,410,410,-,1.23%
3-Nov-16,410,405,405,405,-,0.50%
2-Nov-16,405,403,403,403,-,7.29%
1-Nov-16,403,375.6,375.6,375.6,-,0.97%
31-Oct-16,375.6,372,372,372,-,0.00%
